Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TENZIN,26,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALINA,25,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELLA,25,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIE,25,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,WINNIE,25,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZOE,25,23
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ABIGAIL,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMY,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,FATIMA,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JULIA,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SARA,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AVA,23,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,HANNAH,23,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SABRINA,23,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZAINAB,23,25
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMANDA,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGEL,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EVA,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOYCE,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAREN,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KELLY,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SAMANTHA,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,STEPHANIE,22,26
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATHERINE,21,27
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAYLA,21,27
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,NINA,21,27
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANNIE,20,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHRISTINA,20,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,IRENE,20,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAYLEE,20,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,NATALIE,20,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SHARON,20,28
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AUDREY,19,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ERICA,19,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MADISON,19,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOFIA,19,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZAHRA,19,29
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EILEEN,18,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JENNIFER,18,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JESSIE,18,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATIE,18,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,PHOEBE,18,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,RACHEL,18,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,XIN,18,30
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALLISON,17,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AYESHA,17,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EVELYN,17,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MARYAM,17,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MILA,17,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SERENA,17,31
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,BELLA,16,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,HAILEY,16,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LEAH,16,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LILLIAN,16,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SYEDA,16,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,WENDY,16,32
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARIANA,15,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELIZABETH,15,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOCELYN,15,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LILY,15,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,QUEENIE,15,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,VANESSA,15,33
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMELIA,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANIKA,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHARLOTTE,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CINDY,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CYNTHIA,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JANICE,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOY,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATELYN,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TINA,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZARA,14,34
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ADA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AISHA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALEXANDRA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMBER,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,BRIANNA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ERIN,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,GIANNA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JANNAT,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LAUREN,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MELODY,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,REBECCA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SELENA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,YU,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALEENA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALIYAH,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARIA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARYA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CECILIA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHRISTY,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,DIYA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELENA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ERIKA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ISABEL,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JIA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MANDY,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MINA,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SHIRLEY,12,36
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ARIANNA,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHRISTINE,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,DAISY,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELINA,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ESHAL,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ISABELLE,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAITLYN,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KYLIE,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,RAINA,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,STELLA,11,37
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AIZA,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALEXA,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALISHA,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGIE,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANNABELLE,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,BONNIE,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,HELEN,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATE,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,LEELA,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MAGGIE,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MEGAN,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,RENEE,10,38
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TANISHA,10,38
2011,FEMALE,BLACK NON HISPANIC,MADISON,176,1
2011,FEMALE,BLACK NON HISPANIC,LONDON,92,2
2011,FEMALE,BLACK NON HISPANIC,KAYLA,78,3
2011,FEMALE,BLACK NON HISPANIC,CHLOE,72,4
2011,FEMALE,BLACK NON HISPANIC,AALIYAH,69,5
2011,FEMALE,BLACK NON HISPANIC,MAKAYLA,67,6
2011,FEMALE,BLACK NON HISPANIC,NEVAEH,60,7
2011,FEMALE,BLACK NON HISPANIC,GABRIELLE,55,8
2011,FEMALE,BLACK NON HISPANIC,TAYLOR,53,9
2011,FEMALE,BLACK NON HISPANIC,JADA,52,10
2011,FEMALE,BLACK NON HISPANIC,OLIVIA,52,10
2011,FEMALE,BLACK NON HISPANIC,SERENITY,52,10
2011,FEMALE,BLACK NON HISPANIC,ABIGAIL,51,11
2011,FEMALE,BLACK NON HISPANIC,FATOUMATA,51,11
2011,FEMALE,BLACK NON HISPANIC,FAITH,46,12
2011,FEMALE,BLACK NON HISPANIC,NYLA,43,13
2011,FEMALE,BLACK NON HISPANIC,ZOE,43,13
2011,FEMALE,BLACK NON HISPANIC,KHLOE,42,14
2011,FEMALE,BLACK NON HISPANIC,NYLAH,42,14
2011,FEMALE,BLACK NON HISPANIC,SAVANNAH,42,14
2011,FEMALE,BLACK NON HISPANIC,AVA,40,15
2011,FEMALE,BLACK NON HISPANIC,SARAH,40,15
2011,FEMALE,BLACK NON HISPANIC,LAILA,39,16
2011,FEMALE,BLACK NON HISPANIC,LEAH,39,16
2011,FEMALE,BLACK NON HISPANIC,ARIANNA,38,17
2011,FEMALE,BLACK NON HISPANIC,BRIANNA,38,17
2011,FEMALE,BLACK NON HISPANIC,JAYLA,38,17
2011,FEMALE,BLACK NON HISPANIC,NIA,38,17
2011,FEMALE,BLACK NON HISPANIC,CHELSEA,37,18
2011,FEMALE,BLACK NON HISPANIC,MIA,36,19
2011,FEMALE,BLACK NON HISPANIC,VICTORIA,36,19
2011,FEMALE,BLACK NON HISPANIC,ALYSSA,35,20
2011,FEMALE,BLACK NON HISPANIC,ANIYAH,35,20
2011,FEMALE,BLACK NON HISPANIC,BRIELLE,35,20
2011,FEMALE,BLACK NON HISPANIC,DESTINY,35,20
2011,FEMALE,BLACK NON HISPANIC,ISABELLA,35,20
2011,FEMALE,BLACK NON HISPANIC,NAOMI,34,21
2011,FEMALE,BLACK NON HISPANIC,PAIGE,33,22
2011,FEMALE,BLACK NON HISPANIC,AMAYA,32,23
2011,FEMALE,BLACK NON HISPANIC,ARIEL,32,23
2011,FEMALE,BLACK NON HISPANIC,HEAVEN,32,23
2011,FEMALE,BLACK NON HISPANIC,JASMINE,32,23
2011,FEMALE,BLACK NON HISPANIC,MARIAM,32,23
2011,FEMALE,BLACK NON HISPANIC,MYA,32,23
2011,FEMALE,BLACK NON HISPANIC,PARIS,32,23
2011,FEMALE,BLACK NON HISPANIC,HAILEY,31,24
2011,FEMALE,BLACK NON HISPANIC,MORGAN,31,24
2011,FEMALE,BLACK NON HISPANIC,EMILY,30,25
2011,FEMALE,BLACK NON HISPANIC,LAYLA,30,25
2011,FEMALE,BLACK NON HISPANIC,SOPHIA,30,25
2011,FEMALE,BLACK NON HISPANIC,ZOEY,29,26
2011,FEMALE,BLACK NON HISPANIC,IMANI,28,27
2011,FEMALE,BLACK NON HISPANIC,MILAN,28,27
2011,FEMALE,BLACK NON HISPANIC,TRINITY,28,27
2011,FEMALE,BLACK NON HISPANIC,LAUREN,27,28
2011,FEMALE,BLACK NON HISPANIC,SAMANTHA,27,28
2011,FEMALE,BLACK NON HISPANIC,AUTUMN,26,29
2011,FEMALE,BLACK NON HISPANIC,SANAA,26,29
2011,FEMALE,BLACK NON HISPANIC,AMINATA,25,30
2011,FEMALE,BLACK NON HISPANIC,KAYLEE,25,30
2011,FEMALE,BLACK NON HISPANIC,LONDYN,25,30
2011,FEMALE,BLACK NON HISPANIC,MAYA,25,30
2011,FEMALE,BLACK NON HISPANIC,MCKENZIE,25,30
2011,FEMALE,BLACK NON HISPANIC,FATIMA,24,31
2011,FEMALE,BLACK NON HISPANIC,GABRIELLA,24,31
2011,FEMALE,BLACK NON HISPANIC,SYDNEY,24,31
2011,FEMALE,BLACK NON HISPANIC,ALIYAH,23,32
2011,FEMALE,BLACK NON HISPANIC,KIMORA,23,32
2011,FEMALE,BLACK NON HISPANIC,AMIRAH,22,33
2011,FEMALE,BLACK NON HISPANIC,MARIAMA,22,33
2011,FEMALE,BLACK NON HISPANIC,KAITLYN,21,34
2011,FEMALE,BLACK NON HISPANIC,MARIAH,21,34
2011,FEMALE,BLACK NON HISPANIC,MIKAYLA,21,34
2011,FEMALE,BLACK NON HISPANIC,SANAI,21,34
2011,FEMALE,BLACK NON HISPANIC,AMIYAH,20,35
2011,FEMALE,BLACK NON HISPANIC,ARIELLE,20,35
2011,FEMALE,BLACK NON HISPANIC,DANIELLE,20,35
2011,FEMALE,BLACK NON HISPANIC,HARMONY,20,35
2011,FEMALE,BLACK NON HISPANIC,PEYTON,20,35
2011,FEMALE,BLACK NON HISPANIC,SKYLAR,20,35
2011,FEMALE,BLACK NON HISPANIC,AMELIA,19,36
2011,FEMALE,BLACK NON HISPANIC,ANIYA,19,36
2011,FEMALE,BLACK NON HISPANIC,KYLIE,19,36
2011,FEMALE,BLACK NON HISPANIC,SKYLA,19,36
2011,FEMALE,BLACK NON HISPANIC,TIANA,19,36
2011,FEMALE,BLACK NON HISPANIC,ALANA,18,37
2011,FEMALE,BLACK NON HISPANIC,AMBER,18,37
2011,FEMALE,BLACK NON HISPANIC,JADE,18,37
2011,FEMALE,BLACK NON HISPANIC,MELANIE,18,37
2011,FEMALE,BLACK NON HISPANIC,SAMIYAH,18,37
2011,FEMALE,BLACK NON HISPANIC,AMANDA,17,38
2011,FEMALE,BLACK NON HISPANIC,CHRISTINA,17,38
2011,FEMALE,BLACK NON HISPANIC,MALIA,17,38
2011,FEMALE,BLACK NON HISPANIC,SARIAH,17,38
2011,FEMALE,BLACK NON HISPANIC,TAMIA,17,38
2011,FEMALE,BLACK NON HISPANIC,ANGEL,16,39
2011,FEMALE,BLACK NON HISPANIC,ASHLEY,16,39
2011,FEMALE,BLACK NON HISPANIC,AUBREY,16,39
2011,FEMALE,BLACK NON HISPANIC,JAYDA,16,39
2011,FEMALE,BLACK NON HISPANIC,JORDYN,16,39
2011,FEMALE,BLACK NON HISPANIC,NADIA,16,39
2011,FEMALE,BLACK NON HISPANIC,PRINCESS,16,39
2011,FEMALE,BLACK NON HISPANIC,SADE,16,39
2011,FEMALE,BLACK NON HISPANIC,TORI,16,39
2011,FEMALE,BLACK NON HISPANIC,AMANI,15,40
2011,FEMALE,BLACK NON HISPANIC,AMIRA,15,40
2011,FEMALE,BLACK NON HISPANIC,DAKOTA,15,40
2011,FEMALE,BLACK NON HISPANIC,EGYPT,15,40
2011,FEMALE,BLACK NON HISPANIC,EMMA,15,40
2011,FEMALE,BLACK NON HISPANIC,FANTA,15,40
2011,FEMALE,BLACK NON HISPANIC,GENESIS,15,40
2011,FEMALE,BLACK NON HISPANIC,GRACE,15,40
2011,FEMALE,BLACK NON HISPANIC,HAWA,15,40
2011,FEMALE,BLACK NON HISPANIC,RILEY,15,40
2011,FEMALE,BLACK NON HISPANIC,SARAI,15,40
2011,FEMALE,BLACK NON HISPANIC,SHILOH,15,40
2011,FEMALE,BLACK NON HISPANIC,SKYE,15,40
2011,FEMALE,BLACK NON HISPANIC,SUMMER,15,40
2011,FEMALE,BLACK NON HISPANIC,AICHA,14,41
2011,FEMALE,BLACK NON HISPANIC,AMINA,14,41
2011,FEMALE,BLACK NON HISPANIC,KALIYAH,14,41
2011,FEMALE,BLACK NON HISPANIC,MALIYAH,14,41
2011,FEMALE,BLACK NON HISPANIC,SASHA,14,41
2011,FEMALE,BLACK NON HISPANIC,SHANIA,14,41
2011,FEMALE,BLACK NON HISPANIC,ZARIAH,14,41
2011,FEMALE,BLACK NON HISPANIC,ADDISON,13,42
2011,FEMALE,BLACK NON HISPANIC,AISSATOU,13,42
2011,FEMALE,BLACK NON HISPANIC,ALEXIS,13,42
2011,FEMALE,BLACK NON HISPANIC,ARIA,13,42
2011,FEMALE,BLACK NON HISPANIC,ARIANA,13,42
2011,FEMALE,BLACK NON HISPANIC,JANIYA,13,42
2011,FEMALE,BLACK NON HISPANIC,KENNEDY,13,42
2011,FEMALE,BLACK NON HISPANIC,KIARA,13,42
2011,FEMALE,BLACK NON HISPANIC,LEILANI,13,42
2011,FEMALE,BLACK NON HISPANIC,LYRIC,13,42
2011,FEMALE,BLACK NON HISPANIC,MICHELLE,13,42
2011,FEMALE,BLACK NON HISPANIC,NAHLA,13,42
2011,FEMALE,BLACK NON HISPANIC,SANIYA,13,42
2011,FEMALE,BLACK NON HISPANIC,SANIYAH,13,42
2011,FEMALE,BLACK NON HISPANIC,SYMPHONY,13,42
2011,FEMALE,BLACK NON HISPANIC,TIANNA,13,42
2011,FEMALE,BLACK NON HISPANIC,ZARIA,13,42
2011,FEMALE,BLACK NON HISPANIC,ANAYA,12,43
2011,FEMALE,BLACK NON HISPANIC,BROOKE,12,43
2011,FEMALE,BLACK NON HISPANIC,CAMILLE,12,43
2011,FEMALE,BLACK NON HISPANIC,FATOU,12,43
2011,FEMALE,BLACK NON HISPANIC,JANIYAH,12,43
2011,FEMALE,BLACK NON HISPANIC,KENDRA,12,43
2011,FEMALE,BLACK NON HISPANIC,KYLA,12,43
2011,FEMALE,BLACK NON HISPANIC,NATALIA,12,43
2011,FEMALE,BLACK NON HISPANIC,REBECCA,12,43
2011,FEMALE,BLACK NON HISPANIC,TARAJI,12,43
2011,FEMALE,BLACK NON HISPANIC,ALICIA,11,44
2011,FEMALE,BLACK NON HISPANIC,ANGELINA,11,44
2011,FEMALE,BLACK NON HISPANIC,DYLAN,11,44
2011,FEMALE,BLACK NON HISPANIC,EDEN,11,44
2011,FEMALE,BLACK NON HISPANIC,ESSENCE,11,44
2011,FEMALE,BLACK NON HISPANIC,EVA,11,44
2011,FEMALE,BLACK NON HISPANIC,JANELLE,11,44
2011,FEMALE,BLACK NON HISPANIC,KELSEY,11,44
2011,FEMALE,BLACK NON HISPANIC,SAMARA,11,44
2011,FEMALE,BLACK NON HISPANIC,SHANIYA,11,44
2011,FEMALE,BLACK NON HISPANIC,ZARA,11,44
2011,FEMALE,BLACK NON HISPANIC,AISHA,10,45
2011,FEMALE,BLACK NON HISPANIC,CHEYENNE,10,45
2011,FEMALE,BLACK NON HISPANIC,ERIN,10,45
2011,FEMALE,BLACK NON HISPANIC,JALIYAH,10,45
2011,FEMALE,BLACK NON HISPANIC,JULIA,10,45
2011,FEMALE,BLACK NON HISPANIC,KAI,10,45
2011,FEMALE,BLACK NON HISPANIC,KAMIYAH,10,45
2011,FEMALE,BLACK NON HISPANIC,KENYA,10,45
2011,FEMALE,BLACK NON HISPANIC,MACKENZIE,10,45
2011,FEMALE,BLACK NON HISPANIC,MARYAM,10,45
2011,FEMALE,BLACK NON HISPANIC,NANA,10,45
2011,FEMALE,BLACK NON HISPANIC,RACHEL,10,45
2011,FEMALE,BLACK NON HISPANIC,SAMIYA,10,45
2011,FEMALE,BLACK NON HISPANIC,SORAYA,10,45
2011,FEMALE,BLACK NON HISPANIC,TABITHA,10,45
2011,FEMALE,BLACK NON HISPANIC,ZAHARA,10,45
2011,FEMALE,BLACK NON HISPANIC,ZANIYAH,10,45
2011,FEMALE,BLACK NON HISPANIC,ZURI,10,45
2011,FEMALE,HISPANIC,ISABELLA,331,1
2011,FEMALE,HISPANIC,MIA,229,2
2011,FEMALE,HISPANIC,SOPHIA,223,3
2011,FEMALE,HISPANIC,ASHLEY,190,4
2011,FEMALE,HISPANIC,CAMILA,188,5
2011,FEMALE,HISPANIC,SOFIA,165,6
2011,FEMALE,HISPANIC,EMILY,162,7
2011,FEMALE,HISPANIC,HAILEY,126,8
2011,FEMALE,HISPANIC,LEAH,123,9
2011,FEMALE,HISPANIC,MADISON,122,10
2011,FEMALE,HISPANIC,BRIANNA,114,11
2011,FEMALE,HISPANIC,EMMA,114,11
2011,FEMALE,HISPANIC,VICTORIA,114,11
2011,FEMALE,HISPANIC,MELANIE,109,12
2011,FEMALE,HISPANIC,KIMBERLY,103,13
2011,FEMALE,HISPANIC,SAMANTHA,100,14
2011,FEMALE,HISPANIC,GENESIS,94,15
2011,FEMALE,HISPANIC,ALLISON,90,16
2011,FEMALE,HISPANIC,AMY,87,17
2011,FEMALE,HISPANIC,GABRIELLA,86,18
2011,FEMALE,HISPANIC,OLIVIA,86,18
2011,FEMALE,HISPANIC,VALENTINA,85,19
2011,FEMALE,HISPANIC,KAYLEE,83,20
2011,FEMALE,HISPANIC,ABIGAIL,80,21
2011,FEMALE,HISPANIC,GABRIELA,78,22
2011,FEMALE,HISPANIC,ARIANNA,77,23
2011,FEMALE,HISPANIC,ANGELINA,72,24
2011,FEMALE,HISPANIC,NICOLE,71,25
2011,FEMALE,HISPANIC,BELLA,67,26
2011,FEMALE,HISPANIC,LESLIE,66,27
2011,FEMALE,HISPANIC,ADRIANA,65,28
2011,FEMALE,HISPANIC,SCARLETT,65,28
2011,FEMALE,HISPANIC,ZOE,65,28
2011,FEMALE,HISPANIC,DANIELA,64,29
2011,FEMALE,HISPANIC,AALIYAH,63,30
2011,FEMALE,HISPANIC,ALYSSA,63,30
2011,FEMALE,HISPANIC,ELIZABETH,63,30
2011,FEMALE,HISPANIC,EVELYN,63,30
2011,FEMALE,HISPANIC,KAYLA,62,31
2011,FEMALE,HISPANIC,ANDREA,61,32
2011,FEMALE,HISPANIC,ARIANA,61,32
2011,FEMALE,HISPANIC,CHLOE,60,33
2011,FEMALE,HISPANIC,KATHERINE,60,33
2011,FEMALE,HISPANIC,JENNIFER,59,34
2011,FEMALE,HISPANIC,MARIA,59,34
2011,FEMALE,HISPANIC,KHLOE,57,35
2011,FEMALE,HISPANIC,ALEXA,55,36
2011,FEMALE,HISPANIC,AVA,54,37
2011,FEMALE,HISPANIC,SARAH,53,38
2011,FEMALE,HISPANIC,VALERIE,53,38
2011,FEMALE,HISPANIC,LAYLA,52,39
2011,FEMALE,HISPANIC,DIANA,51,40
2011,FEMALE,HISPANIC,JAYLEEN,51,40
2011,FEMALE,HISPANIC,MICHELLE,51,40
2011,FEMALE,HISPANIC,EMELY,50,41
2011,FEMALE,HISPANIC,JADE,50,41
2011,FEMALE,HISPANIC,MELISSA,50,41
2011,FEMALE,HISPANIC,NATALIA,50,41
2011,FEMALE,HISPANIC,STEPHANIE,50,41
2011,FEMALE,HISPANIC,GIANNA,49,42
2011,FEMALE,HISPANIC,MAYA,49,42
2011,FEMALE,HISPANIC,ALEXANDRA,47,43
2011,FEMALE,HISPANIC,EVA,47,43
2011,FEMALE,HISPANIC,JESSICA,46,44
2011,FEMALE,HISPANIC,JOCELYN,46,44
2011,FEMALE,HISPANIC,NATALIE,46,44
2011,FEMALE,HISPANIC,VALERIA,45,45
2011,FEMALE,HISPANIC,CHELSEA,43,46
2011,FEMALE,HISPANIC,VANESSA,42,47
2011,FEMALE,HISPANIC,JASMINE,41,48
2011,FEMALE,HISPANIC,KAREN,41,48
2011,FEMALE,HISPANIC,KELLY,41,48
2011,FEMALE,HISPANIC,ANGELICA,40,49
2011,FEMALE,HISPANIC,DANNA,39,50
2011,FEMALE,HISPANIC,GISELLE,38,51
2011,FEMALE,HISPANIC,SAVANNAH,38,51
2011,FEMALE,HISPANIC,KYLIE,37,52
2011,FEMALE,HISPANIC,SERENITY,37,52
2011,FEMALE,HISPANIC,GRACE,36,53
2011,FEMALE,HISPANIC,KAMILA,36,53
2011,FEMALE,HISPANIC,KIARA,36,53
2011,FEMALE,HISPANIC,DESTINY,34,54
